trope	description	trope_url
Cast Full Of Pretty Boys	A series with a main cast of pretty boys for girls who like them.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastFullOfPrettyBoys
Cast Full Of Rich People	A work about the lives and dealings of the upper class.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastFullOfRichPeople
Cast Full Of Writers	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastFullOfWriters
Cast Herd	Large cast split into groups.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastHerd
Cast Incest	Actors who play family members in a work also date in real life.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastIncest
Casting A Shadow	Darkness/Shadow-based Elemental Powers.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastingAShadow
Casting Couch	A character beds a producer in order to be cast in a movie (TV series, play, ad, gig, etc).	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastingCouch
Casting Gag	Actor's role reflects something from their real-life history or previous roles.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastingGag
Cast Of Expies	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastOfExpies
Cast Of Personifications	Anthropomorphic Personifications are the main characters.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastOfPersonifications
Cast Of Snowflakes	All characters are visually distinctive, even minor ones.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastOfSnowflakes
Casts No Shadow	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastsNoShadow
Cast Speciation	Two characters who serve a similar role in the story are differentiated by their contrasting personalities.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastSpeciation
Cast The Expert	Hiring a professional to act in a work about said profession.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastTheExpert
Cast The Runner Up	The actor who didn't get a big part appears in a smaller role.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CastTheRunnerUp
Casual Car Giveaway	Don't need your vehicle anymore? Just give it to the first guy you see!	http://tvtropes.org/pmwiki/pmwiki.php/Main/CasualCarGiveaway
Casual Competitive Conflict	If you spend too much time in front of the screen, someone will kill you. If you don't spend enough time in front of the screen, someone will kill you.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CasualCompetitiveConflict
Casual Danger Dialog	Speaking casually while in danger.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CasualDangerDialog
Casual High Drop	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CasualHighDrop
Casual Interplanetary Travel	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CasualInterplanetaryTravel
Casual Interstellar Travel	Interstellar flight that is taken by normal people regularly in a short amount of time	http://tvtropes.org/pmwiki/pmwiki.php/Main/CasualInterstellarTravel
Casual Kink	A character can discuss their kinks with absolute nonchalance, or their kinks are depicted as minor, neutral parts of their personality.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CasualKink
Casual Sports Jersey	A character (often a Jerk Jock who wants their identity to be known) that wears a sports team uniform outside of a sports environment.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CasualSportsJersey
Casual Time Travel	Time travel is common.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CasualTimeTravel
Casualty In The Ring	Professional fighter dies or is crippled in the ring.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CasualtyInTheRing
Cataclysm Backstory	An advanced civilization violently collapsed long ago, and that event affects the plot of the setting.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CataclysmBackstory
Cataclysm Climax	It all gets wiped out. The end.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CataclysmClimax
Cat And Mouse Boss	Boss chases you around until you get something to beat him.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatAndMouseBoss
Catapult	A cat used as a projectile.	http://tvtropes.org/pmwiki/pmwiki.php/Main/Catapult
Catapult Nightmare	Flinging right up or falling out of bed after a Nightmare Sequence.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatapultNightmare
Catapult To Glory	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatapultToGlory
Catastrophic Countdown	A ticking Time Bomb that causes a rash of pre-blast structural collapse and explosions.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatastrophicCountdown
Catch 22 Dilemma	You have to do A in order to do B, but you have to do B in order to do A.	http://tvtropes.org/pmwiki/pmwiki.php/Main/Catch22Dilemma
Catch A Falling Star	Catching something or someone falling from a great height.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatchAFallingStar
Catch And Return	A maneuver where the user catches some sort of projectile or attack and sends it right back.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatchAndReturn
Catching Some Zs	"When sleeping, characters go ""Zzzzz"""	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatchingSomeZs
Catch Phrase	A character says a specific sentence many times.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatchPhrase
Catchphrase Insult	Someone's catchphrase is an insult.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatchphraseInsult
Catchphrase Interruptus	Another character blocks your catch phrase.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatchphraseInterruptus
Catch Phrase Spouting Duo	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatchPhraseSpoutingDuo
Catch The Conscience	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatchTheConscience
Catch Your Death Of Cold	Catching a cold as a result of the weather.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatchYourDeathOfCold
Cat Concerto	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatConcerto
Cat Dog Dichotomy	Cats and dogs are treated as counterparts.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatDogDichotomy
Categorism As A Phobia	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CategorismAsAPhobia
Category Traitor	Liking something that is out of your culture makes you a sellout.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CategoryTraitor
Cat Fight	A fanservice fight between two women.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatFight
Cat Folk	Feline Fantastic Sapient Species.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatFolk
Cat Girl	Human is a Little Bit Feline.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatGirl
Catharsis Factor	Violence is satisfying and stress-relieving, especially if the targets deserve it.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatharsisFactor
Cathartic Chores	Doing mundane, repetitive work like cleaning, cooking, gardening, carpentry etc. as a mechanism to redirect frustration at something uncontrollable.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatharticChores
Cathartic Exhalation	Taking a breath after a tense moment.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatharticExhalation
Cathartic Scream	Loud screaming relieves frustration.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatharticScream
Catholic School Girls Rule	For instant sexy just add schoolgirl uniform.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatholicSchoolGirlsRule
Catlike Dragons	Dragons who are cat-like in appearance, and sometimes, behavior.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatlikeDragons
Cat Ninja	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatNinja
Cats Are Lazy	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatsAreLazy
Cats Are Magic	Cats, or a cat, has powers.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatsAreMagic
Cats Are Mean	Cats are little assholes.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatsAreMean
Cats Are Snarkers	Either Deadpan Snarkers tend to be cats, or cats tend to be Deadpan Snarkers.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatsAreSnarkers
Cats Are Superior	Cats are better than humans (or dogs, or any other type of animal) — and they know it.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatsAreSuperior
Cat Scare	Yipe! *pause* Oh, whew; just the cat.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatScare
Cats Hate Water	Cats hate water, often to an extreme degree.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatsHateWater
Cats Have Nine Lives	Cats portrayed as being able to survive being killed, but only eight times.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatsHaveNineLives
Cat Smile	A character goes :3	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatSmile
Cat Stereotype	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatStereotype
Cattle Baron	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CattleBaron
Cattle Drive	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CattleDrive
Cattle Punk	The Western meets Steampunk.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CattlePunk
CAT Trap	Going into a CAT tube is scary and claustrophobic.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CATTrap
Cat Up A Tree	Cat goes up tree and won't come down. Who will be the hero that rescues it?	http://tvtropes.org/pmwiki/pmwiki.php/Main/CatUpATree
Caught Coming Home Late	Character spends long night out, sneaks into house, is caught by somebody waiting up for them.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CaughtComingHomeLate
Caught In A Snare	A pre-set trap of a net or rope captures someone and leaves them hanging in the air.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CaughtInASnare
Caught In The Bad Part Of Town	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CaughtInTheBadPartOfTown
Caught In The Rain	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CaughtInTheRain
Caught In The Ripple	Reality has been altered, and the viewers notice but the characters don't.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CaughtInTheRipple
Caught Monologuing	Taking action while your opponent is busy talking.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CaughtMonologuing
Caught On Tape	So you say you didn't do it? Fine! Let's just go to the tape...	http://tvtropes.org/pmwiki/pmwiki.php/Main/CaughtOnTape
Caught On The Jumbotron	An embarrassing moment or damning evidence is broadcasted on the Jumbotron for everyone to see.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CaughtOnTheJumbotron
Caught The Heart On His Sleeve	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CaughtTheHeartOnHisSleeve
Caught Up In The Rapture	God will remove the virtuous from the world to safety just before it ends.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CaughtUpInTheRapture
Caught With Your Pants Down	Someone gets caught doing masturbation.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CaughtWithYourPantsDown
Caused The Big Bang	In-universe revelation of the Big Bang's origin.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CausedTheBigBang
Caustic Critic	Abrasive, scathing criticism, for your pleasure.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CausticCritic
Cavalier Competitor	A character treats a competition (even if it's Life or Death) as a game.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CavalierCompetitor
Cavalry Betrayal	Apparent rescuers attack the heroes.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CavalryBetrayal
Cavalry Officer	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CavalryOfficer
Cavalry Of The Dead	Summoning an army of undead soldiers to fight a mutual enemy.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CavalryOfTheDead
Cavalry Refusal	Supposed rescuers aren't interested in rescuing.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CavalryRefusal
Cave Behind The Falls	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CaveBehindTheFalls
Cavemen Vs Astronauts Debate	"Characters will not stop arguing about a meaningless ""A or B"" type question."	http://tvtropes.org/pmwiki/pmwiki.php/Main/CavemenVsAstronautsDebate
Cave Mouth	The entrance to a cave looks like a big mouth.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CaveMouth
CCG Importance Dissonance	Characters in the card game are significantly more or less powerful than in the source material.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CCGImportanceDissonance
Ceiling Banger	Keep it down up there! We can hear you!	http://tvtropes.org/pmwiki/pmwiki.php/Main/CeilingBanger
Ceiling Cling	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CeilingCling
Ceiling Corpse	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CeilingCorpse
Ceiling Smash	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CeilingSmash
Celeb Crush	Being in love with a celebrity.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebCrush
Celebrating The Heroes	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebratingTheHeroes
Celebration Miscalculation	Everyone thought it was a special occsasion, but it isn't.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrationMiscalculation
Celebratory Body Tossing	Somebody gets tossed up into the air as part of a celebration.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebratoryBodyTossing
Celebrities Hang Out In Heaven	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebritiesHangOutInHeaven
Celebrity Blog	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityBlog
Celebrity Break Up Song	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityBreakUpSong
Celebrity Edition	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityEdition
Celebrity Elegy	A Grief Song about a deceased celebrity	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityElegy
Celebrity Endorsement	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityEndorsement
Celebrity Impersonator	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityImpersonator
Celebrity Is Overrated	Being famous isn't that great.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityIsOverrated
Celebrity Lie	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityLie
Celebrity Masquerade	Superhero whose secret identity is a big star.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityMasquerade
Celebrity Paradox	When Work X references Work Y, and Actor X was in both.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityParadox
Celebrity Power	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityPower
Celebrity Resemblance	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityResemblance
Celebrity Song	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebritySong
Celebrity Star	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityStar
Celebrity Superhero	A superhero is just like any other celebrity.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebritySuperhero
Celebrity Survivor	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebritySurvivor
Celebrity Toons	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityToons
Celebrity Voice Actor	Popular, well-known, actors or singers doing voice work, often for publicity points.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelebrityVoiceActor
Celestial Body	They're literally a universe in a box (or man shaped box).	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelestialBody
Celestial Bureaucracy	The afterlife has Lobbies, and is a cabinet.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelestialBureaucracy
Celestial Deadline	You have X until Magic Spell Y breaks/becomes permanent.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelestialDeadline
Celestial Paragons And Archangels	The highest, most powerful angelic good guys (usually) around.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelestialParagonsAndArchangels
Celibate Eccentric Genius	Eccentric genius who's uninterested in sex and/or romantic love.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelibateEccentricGenius
Celibate Hero	Good guys who understand romance and sex, but prefer not to engage in either.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelibateHero
Cell Phones Are Useless	Fictional cell phones often die, break, or lose a signal in situations that can otherwise be easily solved by them.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CellPhonesAreUseless
Cel Shading	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CelShading
Cement Shoes	It's what you wear when you go sleep with the fishes.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CementShoes
Censor Box	We can't show that on TV! Put an obvious censor over it!	http://tvtropes.org/pmwiki/pmwiki.php/Main/CensorBox
Censor Decoy	A questionable scene or line used to draw attention away from another dubious scene or line.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CensorDecoy
Censored Child Death	Child deaths are always offscreen.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CensoredChildDeath
Censored For Comedy	Mixed-up censors give dirty connotations for humour.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CensoredForComedy
Censored Title	Using a less offensive title for the sake of advertisement.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CensoredTitle
Censor Shadow	Shadowing over an area for censorship.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CensorShadow
Censorship Bureau	The Radar you have to get crap past.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CensorshipBureau
Censorship By Spelling	Don't want the kiddies to understand what you're talking about? S-p-e-l-l i-t o-u-t.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CensorshipBySpelling
Censor Steam	Steam/Smoke conveniently conceals the naughty bits.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CensorSteam
Censor Suds	A character has their naughty bits covered up by suds, usually after bathing or showering.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CensorSuds
Centipedes Dilemma	Paralysis by too much analysis.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CentipedesDilemma
Central Theme	A philosophy, message, idea, or question at a story's core.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CentralTheme
Centrifugal Farce	Fun with giant centrifuges.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CentrifugalFarce
Centrifugal Gravity	Spinning your spaceship or space habitat to create artificial gravity.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CentrifugalGravity
Cephalothorax	The character's face is his entire body.	http://tvtropes.org/pmwiki/pmwiki.php/Main/Cephalothorax
Cereal Induced Superpowers	In order to sell a food product, the ad has it give someone superpowers.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CerealInducedSuperpowers
Cereal Vice Reward	Commercials encourage horrible human behavior for the sake of obtaining the advertised product.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CerealViceReward
Cerebus Call Back	It was cute or funny before, but in this situation it's serious.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CerebusCallBack
Cerebus Retcon	Something that was Played for Laughs is retconned as Played for Drama.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CerebusRetcon
Cerebus Rollercoaster	A story that keeps shifting from dramatic periods and light-hearted periods.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CerebusRollercoaster
Cerebus Syndrome	A gradual shift from comedic to dramatic.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CerebusSyndrome
Cessation Of Existence	When you die, that's it. No afterlife, no reincarnation — nothing.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CessationOfExistence
Chained By Fashion	Wearing chains signifies great power.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainedByFashion
Chained Heat	Two characters chained together must cooperate.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainedHeat
Chained To A Bed	Sex restraints are used with ulterior motives.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainedToABed
Chained To A Railway	Impending death by train.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainedToARailway
Chained To A Rock	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainedToARock
Chain Letter	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainLetter
Chain Lightning	Lightning attack that jumps from one target to another.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainLightning
Chain Link Fence	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainLinkFence
Chainmail Bikini	"What that ""armor"" has on Fanservice lacks on protection."	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainmailBikini
Chain Of Corrections	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainOfCorrections
Chain Of Deals	Trade A to get B, trade B to get C, and so on.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainOfDeals
Chain Of People	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainOfPeople
Chain Pain	Chains as an Improvised Weapon.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainPain
Chain Reaction Destruction	"Instead of ""BOOOM!"", things in video games tend to go down with ""Pow! Pow! Pow! Pow!...""."	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainReactionDestruction
Chainsaw Good	Chainsaws are cool.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainsawGood
Chainsaw Grip BFG	An oversized man-portable gun is wielded using a top-mounted foregrip and buttstock-mounted rear grip.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainsawGripBFG
Chains Of Love	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChainsOfLove
Chairman Of The Brawl	A chair is used as an Improvised Weapon in a fight.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChairmanOfTheBrawl
Chair Reveal	A chair revolves and the characters find an unexpected person sitting on it.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChairReveal
Chalk Outline	Chalk where the dead guy once was.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChalkOutline
Challenge Gamer	Someone dead set on mastering their video games in order to be the very best.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChallengeGamer
Challenge Run	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChallengeRun
Challenge Seeker	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChallengeSeeker
Challenging The Bully	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChallengingTheBully
Challenging The Chief	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChallengingTheChief
Chameleon Camouflage	A character seamlessly fades into the background.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChameleonCamouflage
Champions On The Inside	So close to grandeur, yet they lost... but their efforts are what count and won't go unnoticed.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChampionsOnTheInside
Chance Activation	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChanceActivation
Chance Meeting Between Antagonists	A coincidental meeting between enemies, while going about their daily lives.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChanceMeetingBetweenAntagonists
Chandelier Swing	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChandelierSwing
Chandler American Time	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChandlerAmericanTime
Chandlers Law	Breaking a lull in the plot with a spontaneously chaotic event.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChandlersLaw
Changed For The Video	A music video uses a version of the song that's noticeably different from the original.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChangedForTheVideo
Changed My Jumper	You're wearing a t-shirt and jeans in medieval England, and nobody around you thinks it's particularly odd.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChangedMyJumper
Changed My Mind Kid	Friend abandons hero, then saves him at the last moment.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChangedMyMindKid
Changeling Fantasy	Your real parents are much more exciting than your other ones.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChangelingFantasy
Changeling Tale	Fairy Abduction.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChangelingTale
Change Of Heart Recruitment Scenario	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChangeOfHeartRecruitmentScenario
Change The Uncomfortable Subject	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChangeTheUncomfortableSubject
Changing Clothes Is A Free Action	Instantaneous costume-changing.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChangingClothesIsAFreeAction
Changing Gameplay Priorities	In the early game you care about X over Y. In the late game, you care about Y over X.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChangingGameplayPriorities
Changing Of The Guard	The old protagonist is replaced with a new character, who does mostly the same things.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChangingOfTheGuard
Changing Yourself For Love	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChangingYourselfForLove
Channel Hop	A show moves to a different channel.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChannelHop
Chaos Architecture	How come this place looks different in the sequel than in the original?	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChaosArchitecture
Chaos Is Evil	"Bad guys like invoking the term ""chaos""."	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChaosIsEvil
Chaos While Theyre Not Looking	Alice walks out, Bob and Charles are trying to kill each other. Alice walks back in and Bob and Charles act friendly. Alice is none the wiser.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChaosWhileTheyreNotLooking
Chaotic Evil	A character alignment combining self-interest and freedom to cause harm to others.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChaoticEvil
Chaotic Good	A character alignment involving good and freedom.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChaoticGood
Chaotic Neutral	A character alignment involving freedom and individuality.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChaoticNeutral
Chaotic Stupid	A chaotic character refuses to follow any code of conduct, even — no, especially common sense.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ChaoticStupid
Character Action Title	Title of a work composed so: [Name of character][Verb] etc.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterActionTitle
Character Aged With The Actor	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterAgedWithTheActor
Character Alignment	So, what moral and ethical values do you believe in?	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterAlignment
Character As Himself	Character-A plays the role of Character-A	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterAsHimself
Character Blog	Real blog updated by a fictional character.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterBlog
Character Celebrity Endorsement	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterCelebrityEndorsement
Character Check	Attempting to hide Characterization Marches On by having a character briefly act in their original persona.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterCheck
Character Class System	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterClassSystem
Character Customization	When a game allows you to customize its protagonist to your tastes.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterCustomization
Character Death	A character dies.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterDeath
Character Depth	The measure of what fleshes out a character.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterDepth
Character Derailment	Character changes without rhyme or reason, or without an appropriate explanation. May or may not be for the better.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterDerailment
Character Development	A character changes over the course of a narrative.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterDevelopment
Character Exaggeration	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterExaggeration
Character Filibuster	A character just can't stop talking.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterFilibuster
Character Focus	The idea of focusing on one character's development at a time.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterFocus
Character In The Logo	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterInTheLogo
Characterisation Click Moment	The precise moment where a character's characterization has completed its march.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterisationClickMoment
Characteristic Trope	Trope becomes discredited due to the audience associating it with a certain work.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacteristicTrope
Characterization Marches On	Early characterization is inconsistent with later, more defined characterization.	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterizationMarchesOn
Characterization Tags	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/CharacterizationTags
