character_id	description	description_english
656	所属：練馬区環境部みどり推進課	Affiliation: Nerima Ward Environment Department Green Promotion Section
657	"所属：長野県小県郡青木村

アオキノコのあたまは青木村の村章をモチーフにし、村の特産であるきのこをベースに、青木村の２つの温泉地である田沢温泉・沓掛温泉のハッピをまとい、お腹のベルトには国宝大法寺三重塔、背中には百姓一揆が日本一起こった村といわれることから「義民」を讃え描かれています。ひとみの輝きが愛らしいキャラクターです。応援をよろしくお願いします。"	"Affiliation: Aoki Village, Ogi District, Nagano Prefecture

The blue mushroom head is inspired by the village badge of Aoki Village, and is based on the mushrooms that are a specialty of the village. It is dressed in the two hot spring areas of Aoki Village, Tazawa Onsen and Kutsukake Onsen. The pagoda, on the back of which is said to be ""the people of righteousness"" because it is said that the peasant's rebellion is the most common village in Japan. The shine of Hitomi is a lovely character. Thank you for your support."
658	"所属：宮若追い出し猫振興会

 福岡県宮若市に伝わる昔話を元に生まれた『追い出し猫』さくらは元気で可愛い女の子。皆に笑顔で福を招くニャン(*^^*) ♪くるりと反対を向くと、怒った顔で悪いものを追い出してくれるよ！２つの顔と魅力を合わせ持つ、追い出し猫の「さくら」の応援をよろしくお願いします!!"	"Affiliation: Miyawaka Drive-out Cat Promotion Association

 Sakura is a cheerful and cute girl born from the old story of Miyawaka City, Fukuoka Prefecture. Nyan (*^^*) that invites good luck with a smile on everyone ♪ If you turn to the opposite side, you will drive out bad things with an angry face! Thank you for your support, ""Sakura,"" the evicted cat, who has two faces and charms!!"
660	"所属：中村ローソク　おつかいもの本舗

京都初の和ろうそく絵付け体験をPRしているひーぽーちゃんどすえ。はぜの国から来た女の子どす。みんな応援しておくれやす～♪ブログも見てね♪http://ameblo.jp/hi-po-chan/"	"Affiliation: Nakamura Candle, Otsukamono Honpo

Hi-Po-chan's child who promotes Kyoto's first Japanese candle painting experience. It's a girl from the land of the sea. It's easy for everyone to cheer for us~♪ Please also check our blog http://ameblo.jp/hi-po-chan/"
659	"所属：うかる文化振興委員会

日本で唯一、全国の鵜飼観光地にウミウを供給し、その捕獲場がある茨城県日立市で生まれた「うかるくん」と「もうかるくん」。必勝合格パワーのうかるくんと、金運パワーのもうかるくんの最強コンビです。"	"Affiliation: Uraru Culture Promotion Committee

Only in Japan, ""Urumu"" and ""Moukaru-kun"" were born in Hitachi City, Ibaraki Prefecture, where Umi is supplied to Ukai sightseeing spots all over the country and its catching place is located. It's the strongest combination of Karuka-kun who has the winning power and Moukaru-kun who has the fortune power."
661	"所属：篠島水産物加工業協同組合

しらっぴーです！愛知県の離島、篠島のしらすです！うまいです！しろいです！漁獲量日本一です！どうぞよろしくだっぴー！"	"Affiliation: Shinojima Seafood Processing Cooperative

It's Shirappy! Shirasu from Shinojima, a remote island in Aichi Prefecture! It's good! It's white! The highest catch in Japan! Nice to meet you!"
662	"所属：北海道保健福祉部健康安全局食品衛生課

とても綺麗好きで楽天家である僕は、安全で安心な美味しい食べ物をすばやく見つけることが得意です。"	"Affiliation: Food and Safety Division, Health and Safety Bureau, Health and Welfare Department, Hokkaido

As a very beautiful and optimist, I'm good at quickly finding safe and secure delicious food."
663	"所属：東浦町観光協会

東浦町生まれの徳川家康の母「於大の方」がモデルになっているよ！桜色のほっぺが可愛い永遠の５歳。頭についている花は、東浦町の花「ウノハナ」です。毎年４月の於大まつりや各種イベントで大活躍するよ！"	"Affiliation: Higashiura Town Tourism Association

Tokugawa Ieyasu's mother, ""Odai no Okata,"" who was born in Higashiura Town, is the model! An eternal five-year-old with a cute pink cheek. The flower on my head is ""Unohana"", a flower in Higashiura Town. It will be a big success at the big festival and various events every April!"
664	"所属：長野県生活排水広報委員会（長野県環境部生活排水課）

めぐるんは、自然豊かで清らかな水に恵まれた長野県で生まれたよ！そんな長野県のきれいな水環境をずっと守っていけたらうれしいな♪みんな応援よろしくね！！"	"Affiliation: Nagano Prefecture Domestic Wastewater Promotion Committee (Nagano Prefecture Environment Department Domestic Wastewater Division)

Megurun was born in Nagano prefecture, which is rich in nature and blessed with pure water! I would be happy if we could protect such a clean water environment in Nagano Prefecture ♪ Thank you for your support! !"
665	所属：第64回全国植樹祭鳥取県実行委員会	Affiliation: 64th National Tree-Planting Festival Tottori Prefecture Executive Committee
666	"所属：上毛新聞社

上毛新聞の子ども向け新聞「週刊風っ子」で活躍中だよ。４月３日生まれ、ずっと１０歳の男の子。趣味は探検、スポーツ、たまに読書。チャームポイントはくりっとした目と風になびく髪、いつも笑顔なこと。名前は、空っ風がピューピュー吹く音をイメージして、読者の小学生が名づけてくれた。特徴のある髪の毛も、空っ風になびいているのです。"	"Affiliation: Joge Shimbun

He is active in the ""Weekly Futako"" newspaper for children of Joge Shimbun. Born April 3rd, a 10 year old boy. My hobbies are exploration, sports and reading. Charm points are crisp eyes, fluttering hair, and always a smile. The name was given by the reader's elementary school, in the image of the sound of the breeze breezing. The characteristic hair is also fluttering in the air."
667	所属：川島町	Affiliation: Kawashima Town
669	"所属：おきよめ観光協議会

天龍村坂部（さかべ）地区の冬祭りに登場する鬼（たいきり面）の子どもです。向方（むかがた）地区の「お潔（きよ）め祭り」の舞の中で使う剣と扇を持っています。特技は相手の体を清めることです。"	"Affiliation: Okiyome Tourism Council

It is a child of a demon (Taikiri) that appears in the winter festival in the Sakabe district of Tenryu village. I have a sword and a fan to use in the dance of the Kiyome Festival in the Mukata district. A special skill is to purify the opponent's body."
668	"所属：島原半島ジオパーク協議会

ぼく、ジーオ！島原半島ユネスコ世界ジオパークを、全国の人に知ってもらうために頑張っているよ。趣味は自然や地形を観察したり、島原半島の温泉を巡ったりしてジオを楽しむことだよ！みんな、応援よろしくね！"	"Affiliation: Shimabara Peninsula Geopark Council

I'm Gio! Shimabara Peninsula I'm working hard to make people around the world aware of UNESCO Global Geopark. My hobbies are observing nature and terrain, and visiting hot springs on the Shimabara Peninsula to enjoy Geo! Thank you everyone for your support!"
671	所属：VINTAGE-HOUSE	Belong to: VINTAGE-HOUSE
670	"所属：阿久根市

阿久根市街地の沖合約3キロにポッカリ浮かぶ阿久根大島が僕のふるさと。快水浴場100選や名松100選になっているすごくキレイなところなんだよ!この島には僕のなかま(野生の鹿)がたくさん住んでいます。僕は、阿久根の魅力をみなさんにPRしたくて阿久根大島から飛び出して来たんだ!!僕の耳は仲良しの目じるし、愛のサイン。豊かな自然とおいしいものがいっぱいの阿久根で、みんな仲良しになろう!みんな応援よろしくね!!"	"Affiliation: Akune City

My hometown is the Akune Oshima island, which floats about 3 kilometers off the coast of Akune. It's a very beautiful place with 100 excellent beaches and 100 best names for Meimatsu! My island (wild deer) lives a lot on this island. I wanted to publicize the charm of Akune to everyone, so I jumped out of Okune Oshima!! My ears are good friends and a sign of love. Let's all become friends in Akune, which is full of rich nature and delicious foods."
672	"所属：コイン通り商店街

コイン通り商店街は金持神に会える街をキャッチフレーズに商店街興しに取組んでいます。商店街区にある造幣局広島支局が日本の流通硬貨を造り出しておりそこから打出のこづちを商店街のキャラクターにしました。"	"Affiliation: Coin Street Shopping Street

Coin-dori Shopping Street is working to create a shopping district with the catchphrase of a town where you can meet the god of gold. The Hiroshima branch of the Mint Bureau in the shopping district has created Japanese coins, and from there, the character of the mall was used as the character of the coin."
673	"所属：川越市

川越のシンボルである時の鐘（とき）とサツマイモ（いも）から生まれた「ときも」。特技は芋版で自分の姿をスタンプすることと、持ち前の愛らしさで芋づる式に友だちを増やしていくこと。"	"Affiliation: Kawagoe City

""Time"" was born from the time bell, which is a symbol of Kawagoe, and the sweet potato. His special skill is to stamp himself with the potato version and to increase his friends in the ceremony of sweet potatoes with his cuteness."
674	"所属：綾部市

繭（まゆ）＋平和（ピース）でまゆピー。養蚕で栄え、国内で初めて世界連邦都市宣言を行った平和のまち“綾部“で活動しています。頭のアンテナからあやべの魅力を発信中！みんな応援よろしくっピー☆"	"Affiliation: Ayabe City

Cocoon (mayu) + peace (peace) with eyebrows. We are active in Ayabe, a town of peace that thrived in sericulture and was the first in Japan to declare the World Federation City. We are transmitting the charm of Ayabe from the antenna on our head! Thank you everyone for supporting me☆"
675	"所属：東庄町

コジュっす☆ボクは利根川に沿ったアシ原に住んでいる珍しい鳥なんだ。羽は茶と白、頭は黒で、スズメより小さくてホオジロの仲間だよ！東庄町のイメージキャラクターとしてがんばっているんだ。今年も投票よろしくね！"	"Affiliation: Tojo Town

Kojusu ☆ I'm a rare bird that lives in Ashihara along the Tone River. Feathers are brown and white, heads are black, smaller than sparrows, and a member of the Bunting! I'm trying hard as an image character of Tojo Town. Please vote again this year!"
676	"所属：福島県須賀川市

ボータンは、発祥から２５０年を迎える“須賀川牡丹園”と日本三大火祭りの一つ“松明あかし”から生まれた須賀川市のマスコットキャラクターだボー！いつもお友達と市内のあちこちで遊んでいるボー(*^^)v応援よろしくボー＼(^o^)／"	"Affiliation: Sukagawa City, Fukushima Prefecture

Botan is a mascot character of Sukagawa city born from ""Sukagawa Peony Garden"" which is 250 years old and ""Amatsuri Akashi"" which is one of the three great fire festivals in Japan! Bo (*^^) v I'm always playing with friends around the city v"
677	"所属：公益財団法人東京都スポーツ文化事業団

ぼくはチッキー！スポーツが大好きなペンギン！子供からおじいちゃん、おばあちゃんまでスポーツを楽しめる地域スポーツクラブを応援しているよ！運動後のかき氷が大好き☆みんなもぼくと一緒にスポーツを楽しもう！"	"Affiliation: Tokyo Sports Foundation

I'm ticky! Penguins who love sports! We support local sports clubs where children, grandpas and grandmas can enjoy sports! I love shaved ice after exercise ☆ Let's enjoy sports together with me!"
678	"所属：和歌山県　岩出市

和歌山県岩出市のそうへぃちゃんです。本州最初の鉄砲誕生の地。鉄砲隊でも活躍した僧兵がモチーフで、根来塗と根来の子守唄を勉強中。「岩出」をみなさんに知ってもらえるように、がんばります。"	"Affiliation: Iwade City, Wakayama Prefecture

I am Sohei from Iwade City, Wakayama Prefecture. The birthplace of the first gun in Honshu. The motif is a monk who was also active in the gun corps, and he is studying Negoro-nuri and Negoro's lullaby. I will do my best so that everyone can know ""Iwade."""
679	"所属：島田市商工会 

静岡県島田市商工会のおしまちゃん♪島田市応援キャラクターとして活動しています！特別住民票も受け取り、市民の皆さんと一緒に地域を盛り上げようと奮闘中です★ぜひ投票をお願いします（●＾o＾●）"	"Affiliation: Shimada Chamber of Commerce

Shimada in the Shimada City Chamber of Commerce in Shizuoka Prefecture ♪ I am active as a Shimada City supporting character! I have also received a special resident's card, and I am struggling to raise the area with the citizens ★ Please vote (● ^ o ^ ●)"
680	"所属：かんなみ猫おどり実行委員会

昔むかし、函南山里の竹やぶで踊る猫たちの民話から生まれた奇祭”かんなみ猫おどり”主人公のしろは、大きな鈴と白い羽根を神様からもらい故郷を応援する為に「シロにゃん」となって再び地上に降りてきた天使ねこ。"	"Affiliation: Kannami Cat Dance Executive Committee

Once upon a time, the strange character ""Kannami Cat Odori"" was born from the folk tales of the cats dancing in the bamboo bush in Kannamiyamazari. An angel cat that has come down to the ground again."
681	"所属：（株）サンモール

広島市紙屋町のファッションビル、サンモールのキャラクター。広島のファッションや若者文化を盛上げることを目的として活動しています。サンモール屋上「紙屋町ブルーベリー園」がお気に入りスポット。"	"Affiliation: Sun Mall Co., Ltd.

Character of Sun Mall, a fashion building in Kamiyacho, Hiroshima City. We are active with the aim of boosting the fashion and youth culture of Hiroshima. The favorite spot is the Kamiyacho Blueberry Garden on the rooftop of the Sun Mall."
682	"所属：奥尻島観光協会

 名　前　　　　うにまる奥尻島のマスコットキャラクター 「 うにまる 」 くんが、今年も５月１日から観光客の皆様を お出迎え・お見送りをしております。フェリーの発着時間に合わせてフェリーターミナルに現れ、握手や記念撮影などに応じてますので是非、声をかけてあげてください。期間は10月いっぱいまでだよ。 生まれ　　　　１９８９年（平成元年）　　　　　　　イテテ座生まれ、奥尻育ち 性　別　　　　男 血液型　　　　Ｙ型（夢のＹ） 身　長　　　　約 １８０ｃｍ　 体　重　　　　約 　６０Ｋｇ  職　業　　　　お客のお出迎え・島の観光ＰＲ 性　格　　　　いたって温厚 好　物　　　　コンブ 得意なこと　　人前にでること 苦手なこと　　雨風・激しいリアクション"	"Affiliation: Okushiri Island Tourism Association

 In front of the unimaru Okushiri Island mascot character ""Unimaru"" kun, welcomed and deferred tourists from May 1st this year as well. It will appear at the ferry terminal according to the ferry arrival and departure time, and depending on the handshake and commemorative photo, please call me. The period is until October. Born in 1989 (Heisei 1), born in Itteza, raised in Okushiri, gender, male blood type, Y type (Yume no Y), height of about 180 cm, body weight, about 60 Kg, warm-hearted tourists, warm-up of the tourists, and warm welcome to the island. Favorite foods Combs Good at being in front of people I'm not good at rain and wind/intense reactions"
683	"所属：江津市

悠久の時を超え、江津へ恋愛大使としてやってきた「人麻呂くん」と「よさみ姫」です。応援よろしくお願いします！！"	"Affiliation: Gotsu City

""Hito Maro-kun"" and ""Yosami Hime"" who have come to Gotsu as romance ambassadors since eternity. Please provide some support! !"
684	"所属：八潮市役所

八潮の小松菜畑で生まれた「ハッピーこまちゃん」だよ。頭はおいしい小松菜でできているんだ。好物は小松菜。夢はみんなを健康にすることだよ。今年も応援よろしくね。"	"Affiliation: Yashio City Hall

""Happy Koma-chan"" was born in the Komatsu vegetable garden in Yashio. My head is made of delicious Komatsuna. Komatsuna is my favorite. A dream is to make everyone healthy. Please support me this year as well."
685	"所属：京都タワ－株式会社

「たわわちゃん」は、京都タワーのやさしい灯りから生まれました。いつも展望室からみんなの「しあわせ」をお祈りしています。京都のキャラクターといえば「たわわちゃん」と言ってもらえるよう、日々活動中！みなさま応援よろしくお願いします！"	"Affiliation: Kyoto Tawa Co., Ltd.

""Tawawa-chan"" was born from the gentle lights of Kyoto Tower. I always pray for everyone's ""happiness"" from the observation room. Every day we are working so that you can say ""Tawawa-chan"" when it comes to Kyoto characters! Thank you for your support!"
686	"所属：「ほっと石川」観光キャンペーン実行委員会

プリンじゃないよ。能登半島の形をした「のとドン」だよ。前回５２９位の雪辱を晴らすため、今年は「目指せ！５００位以内！」の気持ちでゆるーくがんばるぞ！！能登を愛する全国のみんな、投票まってるよ～♪"	"Affiliation: ""Hot Ishikawa"" Tourism Campaign Executive Committee

Not a pudding. It's a ""not don"" in the shape of the Noto Peninsula. In order to clear the 529th place of the last time, I will do my best this year with the feeling of ""Aim! Within 500th place!"" ! Everyone in the whole country who loves Noto is voting!"
687	所属：兵庫スイングスマイリーズ	Affiliation: Hyogo Swing Smileys
688	"所属：呉市観光振興課

旧海軍の町、呉の観光をＰＲするキャラクター。造船業の盛んな呉ならではの、船をモチーフにした形。だけどなかなか一目で気づいてもらえない....。元気のいい日はダンスも踊る、以外とお茶目な男の子。"	"Affiliation: Kure City Tourism Promotion Division

A character who promotes sightseeing in Kure, the town of the former Navy. A shape with a ship motif unique to Kure, which is popular in the shipbuilding industry. But it's hard to notice at a glance... A boy who is foolish except that he dances on a healthy day."
689	"所属：大阪府府民文化部都市魅力創造局生涯スポーツ振興課

大阪府のマスコットキャラクター「モッピー」です。平成5年10月8日生まれ･･キャラクター界ではすでにベテラン。見た目はとっくにおっさんですが、こころは永遠の少年（自称）です。よろしくね！"	"Affiliation: Osaka Prefectural Culture Department, City Charm Creation Bureau, Lifelong Sports Promotion Division

It is the mascot character ""Moppie"" of Osaka Prefecture. Born October 8, 1993...Veteran in the character world. It looks like an old man, but his heart is an eternal boy (self-proclaimed). Nice to meet you!"
690	"所属：木津川市

京都府最南端のまち、木津川市のいづみ姫です！木津川は、昔「いづみ川」として和歌にも読まれていたの。「ええやん！きづがわ」（木津川市公式Facebook）で木津川市のいろんなことを紹介してるから見てね！"	"Affiliation: Kizugawa City

Izumi Hime from Kizugawa, the southernmost town in Kyoto Prefecture! The Kizu River was once read in Japanese poems as the ""Izumi River."" ""Eeyan! Kizugawa"" (Kizugawa City official Facebook) introduces various things about Kizugawa City, so please have a look!"
691	"所属：藤井寺市

遣唐留学生「井真成（いのまなり）」が、現代によみがえった姿。地元藤井寺市だけでなく各地のイベントで、世界文化遺産『百舌鳥・古市古墳群』をはじめ、藤井寺市の魅力を元気いっぱいPRしています！"	"Affiliation: Fujiidera City

The appearance of a foreign student “Inomari” revived in modern times. We are actively promoting the charm of Fujiidera City, including the world cultural heritage ""Mozu-Furuichi Burial Mounds"", at events not only in the local Fujiidera City but also in various places!"
693	所属：株式会社パワフルジャパン十和田	Affiliation: Powerful Japan Towada Co., Ltd.
692	"所属：木祖村役場

木曽川源流の里、信州木祖村に住んでいる元気で活発、アウトドアが大好きな男の子です！木曽川の水が綺麗なまま、永遠に流れ続けることを夢見ていますチャームポイントは木曽川源流の清流をイメージしたマントです"	"Affiliation: Miso Village Office

A boy who lives in the village of the origin of Kiso River, Shinshu Misomura, and is active and active, and loves the outdoors! I dream that the water of the Kiso River will continue to flow forever, with the water being clean."
694	"所属：ＪＡ東京中央

太陽の化身「てるーん」。すぐ熱くなるけど気まぐれに雨を降らせて茶目っ気たっぷり。みんなをいつも優しく照らします。妹の「ふーら」は花の妖精。お転婆だけどいつも相手の気持ちになって考えるやさしい娘。"	"Affiliation: JA Tokyo Chuo

The incarnation of the sun ""Terun"". It gets hot right away, but it's full of fun by letting it rain in a whim. Always illuminate everyone gently. My sister ""Fura"" is a fairy of flowers. She is a transgression, but she is a gentle girl who always feels like her."
696	所属：鬼北町役場	Affiliation: Onikita Town Office
695	"所属：活性化プロジェクトのへじ

今年もエントリーしたよ♪野辺地町の「じ～の」です！！地元に愛され続けて３年。そろそろ世界にアピールしなきゃ！青森県、故郷野辺地町の為に頑張るよ～♪みんな応援してけ！"	"Affiliation: Activation Project Edge

I made an entry this year too! It's ""Jinno"" from Noheji Town! ! It has been 3 years since it was loved by the locals. I have to appeal to the world! I'll do my best for my hometown of Noheji, Aomori Prefecture~♪ Please support us!"
697	所属：裏磐梯ペンションヴィレッジ	Affiliation: Urabandai Pension Village
698	"所属：茅野市子ども会育成連絡協議会

名前の由来は「茅野市の坊や」。トレードマークは“わんぱくの証”のばんそうこうと、ふるさとの八ヶ岳をイメージしたトンガリ頭だよ。世界中の子ども達と友達になるのが夢なんだ！"	"Affiliation: Chino City Children's Association Development Liaison Council

The origin of the name is ""Chino City Boy."" The trademark is the bandage of ""Nampaku's proof"" and the Tongari head, which is based on the image of Yatsugatake as a hometown. My dream is to make friends with children around the world!"
699	"所属：徳島県立あすたむらんど

「徳島県立あすたむらんど」に生息する自然から生まれた妖精。子どもたちが大好きで、体をぽよんぽよん弾ませながら感情を表現するよ。体が水のしずくでできているから、長時間屋外にいると蒸発してしまうんだ。神出鬼没に園内やイベントに出没して、みんなと遊んだりぽよ～んとしているよ。"	"Affiliation: Tokushima Prefectural Asta Muland

A fairy born from nature that inhabits the Tokushima Prefectural Asta Murund. I love children and I express my emotions while bouncing my body. Your body is made up of water drops, so if you stay outdoors for a long time, it will evaporate. I hang out in the park and at events during the gods' death, and I'm playing with everyone."
700	"所属：伊豆シャボテン公園

「カピーバ」は、伊豆急行線伊豆高原駅旧おもしろ駅長に任命されたり、「カピーバ散歩」で地域のイベントに参加したりと大活躍！好きな食べ物は草、リンゴ。趣味は露天風呂入浴、メキシカン音楽を聴くこと。"	"Affiliation: Izu Cactus Park

""Capeba"" was appointed as the former funny stationmaster of Izukogen Station on the Izukyu Line, and participated in local events with ""Capeba Walk""! My favorite food is grass and apples. My hobbies are taking an open-air bath and listening to Mexican music."
702	"所属：桜島フェリー

桜島フェリーのサクラエンジェルちゃんだよ～(*^^)vジオの恵みに触れることができる桜島と錦江湾のことをたくさんの人に知ってほしいなぁ（*^_^*）みんな～！桜島に遊びに来てね～(^_^)/~"	"Affiliation: Sakurajima Ferry

It's Sakura Angel ferry Sakurajima ~(*^^)v I want many people to know about Sakurajima and Kinko Bay, where you can experience the grace of Geo (*^_^*) Everyone! Please come and visit Sakurajima~(^_^)/~"
701	"所属：大任町

花としじみの里、大任町のマスコットキャラクター！しじみの大ちゃん花ちゃん。大ちゃん「たくさんの人に知ってもらいたいばい！」花ちゃん「なら殻をやぶって出てこんね！」大ちゃん「それはちょっと・・・」"	"Affiliation: Otomachi

Mascot character from Otomachi, the village of Hana and Shijimi! Shijimi Ochan Hana. Dai-chan ""I want a lot of people to know about it!"" Hana-chan ""Don't break the shell and come out!"" Dai-chan ""It's a bit..."""
703	"所属：矢巾町

征夷将軍文室綿麻呂（ふんやのわたまろ）が、矢巾町に城柵「徳丹城」を造営してから１２００年余り。矢巾町をＰＲするため、「わたまろくん」として現代に帰ってきました！"	"Affiliation: Yahaba Town

It has been more than 1200 years since the conqueror Shogun Bunro Maro (Funya no Watamaro) built the castle fence ""Tokutan Castle"" in Yahaba. We have returned to the present age as ""Watamaro-kun"" to publicize Yahaba Town!"
704	"所属：長井商工会議所

山形の食文化を応援するために流星群に乗ってやってきた馬型宇宙人。好物は馬肉と行者菜と米粉。山形県長井商工会議所の公認キャラとして活躍中。毎年８月２９日馬肉の日は長井に集まれニック。"	"Affiliation: Nagai Chamber of Commerce

A horse-shaped alien who came to the meteor shower to support the food culture of Yamagata. Her favorite foods are horse meat, ginseng and rice flour. Active as an official character of the Nagai Chamber of Commerce in Yamagata Prefecture. Nicky is gathered in Nagai every August 29th on Horse Meat Day."
705	"所属：山口県下関市消防団

おいらモセキ！みんな消防団って知っちょる？ 消防団はまちのヒーローなんよ。 おいらはまといを持って「しものせき」で頑張っちょるよ！ おいらの子供、コモセキくんも一緒だよ！応援よろしく！"	"Affiliation: Shimonoseki City Fire Department, Yamaguchi Prefecture

I'm Moseki! Do you all know the fire brigade? The fire brigade is the town's hero. I'll have a matte and do my best with ""Shimonoseki""! Your child, Komoseki-kun, is with us! Thank you for your support!"
706	"所属：一般社団法人日光市観光協会

オイラは、日光市出身のちょっとメタボな中年ヒーロー。世界遺産・温泉・自然・・・日光市のたくさんの魅力を世界に伝えているよ。みんなの応援待ってるよ！"	"Affiliation: Nikko City Tourism Association

Oila is a slightly metabolized middle-aged hero from Nikko. World heritage, hot springs, nature... We are telling the world about the many attractions of Nikko City. I'm waiting for everyone's support!"
707	"所属：福岡県新社会推進部県民文化スポーツ課

平成14年とびうめ国文祭を機に、太宰府天満宮の飛梅をモチーフにして生まれた飛梅丸。県文祭PRのため、各種イベントへ積極的に出かけます。県文祭に行く梅（ばい）！見る梅（ばい！）参加するば～い！"	"Affiliation: Fukuoka Prefecture New Society Promotion Department

Tomei Umemaru was created with the Tobiume Kokubunsai Festival in 2002 as the motif of Tomei plum from Dazaifu Tenmangu. We will actively go to various events to promote the prefectural festival. Plums going to the prefectural festival! See Ume!"
708	所属：名取市	Affiliation: Natori City
709	"所属：渋谷Flowerプロジェクト

渋谷を花いっぱいにしてゴミのポイ捨てのない街を目指す『渋谷Flowerプロジェクト（シブハナ）』のマスコット。わたあめとお花が大好き。日差しを調節したり、雨を降らせてお花に水をあげたりするよ！"	"Affiliation: Shibuya Flower Project

The mascot of the ""Shibuya Flower Project (Shibuhana)"" that aims to create a city where Shibuya is filled with flowers and there is no littering. I love cotton candy and flowers. I'll adjust the sunshine and let the rain water the flowers!"
710	"所属：山崎醸造㈱

おみそ汁大好き。発酵系男子。おみそのことは何でも聞いてね。"	"Affiliation: Yamazaki Brewing Co., Ltd.

I love miso soup. Fermented men. Ask me anything about that."
711	"所属：宮古島市

僕は宮古島市のゆるキャラ「みーや」だよ。今年は、僕の住む宮古島市が誕生して１０年目で今まで以上に頑張ってます！！応援してね～"	"Affiliation: Miyakojima City

I'm Miyako's Yuru character, ""Miya"". This year is my tenth year since the city of Miyakojima, where I live, was born, and I am doing my best! ! Please support me~"
712	"所属：UFM雲州ふらたまちおこし実行委員会

ただものだんだん！（いつもありがとう）出雲市平田地区のご当地キャラ、おんすう ふらたろうです。平田地区は「雲州平田」と呼ばれちょーけど、こーが「おんすぅふらた」てて発音すーわね。そーが名前の由来だじ。"	"Affiliation: UFM Unshu Furatamachi Okushi Executive Committee

It's just a thing! (Thank you always) I'm Furasuro Onsu, a local character in the Hirata area of Izumo City. The Hirata area is called ""Unshu Hirata"", but this is pronounced as ""onsufurata"". That is the origin of the name."
713	"所属：志木市商工会

カッピー・志木いろは池に住んでいるカッパの子供。人間の子供が大好きでいたずら好き。きゅうりが大好き。子供たちに大人気です。志木あらちゃん・ゴマアザラシの女の子。北の海から荒川の秋ケ瀬水門へやってきて人気者になりました。年齢は人間でいえばお年頃。日向ぼっこが大好き。おっとり見えるが行動的。思い込んだら命がけ。"	"Affiliation: Shiki City Chamber of Commerce

Kappi, Shiki Iroha is a kappa kid who lives in a pond. I love human children and I like mischief. I love cucumbers. It is very popular with children. Aki Shiki and a sesame seal girl. From the north sea, I came to the Akigase sluice of Arakawa and became popular. Humans are around the age of humans. I love Hinata. It looks quiet, but it is active. If you think about it"
714	"所属：中郷商工会

地域の象徴といえる桜の花を頭にかざり、この地に発掘された縄文時代の遺跡を思わせるたたずまいで地域おこしに活躍しています。この地の名所であるスイッチバックの駅「二本木駅」で活動しています。"	"Affiliation: Nakago Chamber of Commerce

Holding the cherry blossoms, which can be said to be a symbol of the region, in the head, it has an appearance that resembles the remains of the Jomon period excavated in this area and is active in local development. I am active at the switchback station ""Nippongi station"" which is a famous spot in this area."
715	所属：足立区役所危機管理課ビューティフル・ウィンドウズ運動推進担当	Affiliation: Adachi City Office Crisis Management Section Beautiful Windows Campaign Promotion
716	"所属：彩の国くらしプラザ

ボクは消費生活について学べる参加体験型施設「彩の国くらしプラザ」の展示案内キャラクターだよ。みんなといっしょに「くらし」について考えるから“くらっしー”なのサ！おしゃべりが大好きな男の子だよ。うぷぷ♪"	"Affiliation: Sai no Kuni Living Plaza

I'm the exhibition guide character for ""Sai no Kuni Kurashi Plaza"", a hands-on facility where you can learn about consumer life. It's a ""Kurashi"" because I think about ""living"" together with everyone! A boy who loves to talk. Uppu♪"
717	"所属：津幡町

倶利伽羅源平合戦で勝利した木曽義仲（よしなかくん）と巴御前（ともえちゃん）が、大河ドラマ誘致のため時を越えて津幡町にやって来た！火牛のカーくん、火牛のモーちゃんと力を合わせて津幡町を盛り上げるぞ。"	"Affiliation: Tsubata Town

Yoshinaka Kiso and Tomoe-chan, who won the Kurikara Genpei battle, came to Tsubata Town over time to attract the Taiga drama! Let's make Tsubata-machi more exciting by working together with Kaushi-kun and Mo-chan."
718	"所属：山東まちづくり会

山東地域の活性化を目指すキャラクター。山東とたけのことみかんを愛するお調子者で陽気な男の子。誕生日は３月１０日。普段は山東の山奥でたけのこやみかんを育てている。天敵はたけのこや畑を荒らすイノシシ。"	"Affiliation: Shandong Town Development Association

A character who aims to revitalize the Shandong area. A cheerful and cheerful boy who loves Shandong and Take and Koikan. Birthday is March 10th. I usually grow bamboo shoots and mandarins in the mountains of Shandong. The natural enemy is a wild boar that devours bamboo shoots and fields."
719	所属：横須賀上下水道	Affiliation: Yokosuka Waterworks
720	"所属：湯郷温泉旅館協同組合

岡山県美作市のある湯郷温泉のゆるキャラ『ほっピー＆ゆっピー』です。湯郷温泉を流れる大谷川にはホタルが生息しています。そのホタルをモチーフにしたほっピーとゆっピー。ホタルは１年に１度しか会えないけど、ほっピーとゆっピーには１年中会えますよ。"	"Affiliation: Yugo Onsen Ryokan Cooperative

It is a Yuru character ""Hoppy & Yuppy"" at Yugo Onsen in Mimasaka City, Okayama Prefecture. Fireflies inhabit the Otani River that flows through Yugo Onsen. Hoppy and Yuppy with the firefly motif. Fireflies meet only once a year, but I can meet Hoppy and Yuppy all year round."
